offense_id,incident_id,attempt_complete_flag,location_id,agency_id,incident_date,incident_hour,cleared_except_id,cleared_except_date,,incident_id,offender_id,age,sex_code,Offense- Offense ID,Offense-Incident ID,Offense- Offense Type ID,Offense-Location ID
91315660,83620823,C,41,20437,2/22/2016 0:00,13,6,,,83620823,94262871,14,M,91315660,83620823,56,41
91317166,83621539,C,20,20289,2/7/2016 0:00,17,4,2/16/2016 0:00,,83621539,94263402,12,M,91317166,83621539,56,20
91317901,83622005,C,25,20289,2/16/2016 0:00,8,6,,,83622005,94265197,27,M,91317901,83622005,56,25
91319582,83624721,C,20,20469,2/16/2016 0:00,16,6,,,83624721,94266471,11,M,91319582,83624721,56,20
,,,,,,,,,,83624721,94266473,8,M,91319582,83624721,56,20
,,,,,,,,,,83624721,94266470,9,M,91319582,83624721,56,20
91320223,83624836,C,20,20289,2/1/2016 0:00,0,6,,,83624836,94267555,36,M,91320223,83624836,56,20
91320740,83625604,C,46,20471,2/21/2016 0:00,18,6,,,83625604,94266957,61,M,91320740,83625604,56,46
91321434,83626075,C,20,20466,1/25/2016 0:00,21,6,,,83626075,94268594,35,M,91321434,83626075,56,20
,,,,,,,,,,83626075,94268596,33,M,91321434,83626075,56,20
91324130,83627877,C,20,20445,1/23/2016 0:00,8,6,,,83627877,94271088,55,M,91324130,83627877,56,20
91325229,83628785,C,20,20477,2/26/2016 0:00,14,5,2/29/2016 0:00,,83628785,94272611,7,M,91325229,83628785,56,20
91323988,83629616,C,20,20473,2/4/2016 0:00,22,2,2/26/2016 0:00,,83629616,94272367,40,M,91323988,83629616,56,20
91324082,83629709,C,20,20445,1/31/2016 0:00,,6,,,83629709,94272470,52,M,91324082,83629709,56,20
91325951,83630474,C,25,20473,2/17/2016 0:00,18,6,,,83630474,94273273,27,M,91325951,83630474,56,25
91326294,83630487,C,20,20445,1/22/2016 0:00,12,6,,,83630487,94273287,,,91326294,83630487,56,20
91328201,83631935,C,40,20483,1/22/2016 0:00,22,6,,,83631935,94274038,19,M,91328201,83631935,56,40
91329316,83632974,C,20,20466,2/21/2016 0:00,9,6,,,83632974,94276324,37,M,91329316,83632974,56,20
91333367,83636356,C,41,20445,1/20/2016 0:00,7,6,,,83636356,94280859,49,F,91333367,83636356,56,41
91334516,83637566,C,7,20445,2/21/2016 0:00,17,6,,,83637566,94282104,,,91334516,83637566,56,7
91344352,83645174,C,3,20475,1/30/2016 0:00,23,6,,,83645174,94291910,57,M,91344352,83645174,56,3
91344266,83646266,C,20,20475,2/8/2016 0:00,5,6,,,83646266,94292436,34,M,91344266,83646266,56,20
